name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Winston Bennett,27,334,40,107,0,35,47,64,28,8,2,20,115,1991
Larry Bird*,60,2277,462,1017,77,163,183,509,431,108,58,187,1164,1991
Rolando Blackman,80,2965,634,1316,40,282,326,256,301,69,19,159,1590,1991
Lance Blanks,38,214,26,61,2,10,14,20,26,9,2,18,64,1991
Mookie Blaylock,72,2585,432,1039,14,139,176,249,441,169,40,207,1017,1991
Muggsy Bogues,81,2299,241,524,0,86,108,216,669,137,3,120,568,1991
Manute Bol,82,1522,65,164,1,24,41,350,20,16,247,63,155,1991
Anthony Bonner,34,750,103,230,0,44,76,161,49,39,5,41,250,1991
Sam Bowie,62,1916,314,723,4,169,231,480,147,43,90,141,801,1991
Randy Breuer,73,1505,197,435,0,35,79,345,73,35,80,69,429,1991
Frank Brickowski,75,1912,372,706,0,198,248,426,131,86,43,160,942,1991
Scott Brooks,80,980,159,370,45,61,72,72,204,53,5,51,424,1991
Chucky Brown,74,1485,263,502,0,101,144,213,80,26,24,94,627,1991
Dee Brown,82,1945,284,612,7,137,157,182,344,83,14,137,712,1991
Mike Brown,82,1391,129,284,0,132,178,337,49,29,24,82,390,1991
Tony Brown,30,294,30,80,3,20,23,43,16,4,0,16,83,1991
Mark Bryant,53,781,99,203,0,74,101,190,27,15,12,33,272,1991
Jud Buechler,74,859,94,226,1,43,66,141,51,33,15,26,232,1991
Matt Bullard,18,63,14,31,0,11,17,14,2,3,0,3,39,1991
Willie Burton,76,1928,341,773,4,229,293,262,107,72,24,144,915,1991
Greg Butler,9,37,5,19,0,4,6,16,1,0,0,4,14,1991
Michael Cage,82,2141,226,445,0,70,112,558,89,85,58,83,522,1991
Adrian Caldwell,42,343,35,83,0,7,17,100,8,19,10,30,77,1991
Rick Calloway,64,678,75,192,0,55,79,78,61,22,7,51,205,1991
Elden Campbell,52,380,56,123,0,32,49,96,10,11,38,16,144,1991
Tony Campbell,77,2893,652,1502,16,358,446,346,214,121,48,190,1678,1991
Antoine Carr,77,2527,628,1228,0,295,389,420,191,45,101,171,1551,1991
Joe Barry Carroll,11,96,13,36,0,11,12,24,11,1,8,12,37,1991
Bill Cartwright,79,2273,318,649,0,124,178,486,126,32,15,113,760,1991
Terry Catledge,51,1459,292,632,0,161,258,355,58,34,9,107,745,1991
Duane Causwell,76,1719,210,413,0,105,165,391,69,49,148,96,525,1991
Cedric Ceballos,63,730,204,419,1,110,166,150,35,22,5,69,519,1991
